budget,original_title,popularity,release_date,runtime,title,revenue,month_release_date,year_release_date,disney_production_company,twenty_century_fox_production_company,warner_bros_production_company,nbcuniversal_production_company,sony_pictures_production_company,paramount_pictures_production_company,top_twenty_keywords,top_twenty_influential_actors,genre_action,genre_adventure,genre_animation,genre_comedy,genre_crime,genre_documentary,genre_drama,genre_family,genre_fantasy,genre_foreign,genre_history,genre_horror,genre_music,genre_mystery,genre_romance,genre_science_fiction,genre_tv_movie,genre_thriller,genre_war,genre_western,status_released,status_rumored,crew_department_actors,crew_department_art,crew_department_camera,crew_department_costume_&_make-up,crew_department_crew,crew_department_directing,crew_department_editing,crew_department_lighting,crew_department_production,crew_department_sound,crew_department_visual_effects,crew_department_writing
26000000,Red Eye,6.336926999999999,2005-08-04,85.0,Red Eye,57891803,8,2005,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,1,1,0,1
0,The Invisible Woman,4.1835580000000006,2013-12-25,111.0,The Invisible Woman,1234254,12,2013,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1
8000000,Chalet Girl,6.496258999999999,2011-02-02,96.0,Chalet Girl,1749457,2,2011,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
32000000,Transporter 2,11.359658999999999,2005-08-02,87.0,Transporter 2,85167639,8,2005,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1
80000000,Lost in Space,12.000579,1998-04-03,130.0,Lost in Space,136159423,4,1998,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1
4000000,Friday the 13th Part III,7.99229,1982-08-13,95.0,Friday the 13th Part III,36690067,8,1982,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,1,1,1
0,V/H/S,7.820786999999999,2012-07-28,116.0,V/H/S,100345,7,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
0,Black Sheep,7.434577,2006-09-09,87.0,Black Sheep,4947717,9,2006,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1
10000000,The Spanish Prisoner,4.305734999999999,1997-09-08,110.0,The Spanish Prisoner,13835130,9,1997,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1
11000000,What If,10.841891,2013-09-07,93.0,What If,7847000,9,2013,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,1,0,1
6000000,The Transformers: The Movie,6.759181,1986-08-08,84.0,The Transformers: The Movie,5849647,8,1986,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1
45000000,Changing Lanes,7.81862,2002-04-07,89.0,Changing Lanes,94935764,4,2002,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,1,0,1
90000000,The Last Witch Hunter,13.412445000000002,2015-10-21,106.0,The Last Witch Hunter,146936910,10,2015,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1
0,ABCs of Death 2,8.254856,2014-10-02,125.0,ABCs of Death 2,7171,10,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1
140000000,Rush Hour 3,9.718111,2007-08-08,91.0,Rush Hour 3,258022233,8,2007,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,1,1,0,1
30000000,Safe,8.234382,2012-04-16,94.0,Safe,40346186,4,2012,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1
0,About Adam,2.100499,2000-01-28,105.0,About Adam,151559,1,2000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
50000000,Outbreak,13.676444,1995-03-10,127.0,Outbreak,189859560,3,1995,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,1,0,1
3800000,Major Dundee,3.055936,2065-04-07,123.0,Major Dundee,14873,4,2065,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1
0,Cocaine Cowboys,2.941626,2006-04-26,118.0,Cocaine Cowboys,163000,4,2006,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
3000000,Cool Hand Luke,9.718713000000001,2067-06-22,126.0,Cool Hand Luke,16217773,6,2067,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1
25000000,The Next Best Thing,2.9719990000000003,2000-03-03,108.0,The Next Best Thing,24362772,3,2000,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,0,0,1
6000000,5 Flights Up,9.383088,2014-09-05,92.0,5 Flights Up,1020921,9,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,1
15000000,The Wedding Date,5.615303,2005-02-04,88.0,The Wedding Date,47175038,2,2005,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1
80000000,Ice Age: The Meltdown,16.646029000000002,2006-03-23,91.0,Ice Age: The Meltdown,660940780,3,2006,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1
44000000,The Hateful Eight,20.328822,2015-12-25,167.0,The Hateful Eight,155760117,12,2015,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1
0,Wilson,8.984386,2017-03-24,94.0,Wilson,653951,3,2017,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,0,1
38000000,Star Trek: Generations,8.105708,1994-11-17,118.0,Star Trek: Generations,120000000,11,1994,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1
12000000,The Great Race,4.473326999999999,2065-07-01,160.0,The Great Race,25333333,7,2065,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1
0,The Last Flight of Noah's Ark,1.012665,1980-06-24,97.0,The Last Flight of Noah's Ark,11000000,6,1980,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
0,For Keeps,5.410839,1988-01-15,98.0,For Keeps,17514553,1,1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
20000000,Risen,8.759801,2016-02-19,107.0,Risen,46069568,2,2016,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1
0,Son in Law,9.122717999999999,1993-07-02,95.0,Son in Law,36448200,7,1993,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
125000000,Batman & Robin,17.038823999999998,1997-06-20,125.0,Batman & Robin,238207122,6,1997,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1
0,Were The World Mine,1.8824459999999998,2008-06-24,95.0,Were The World Mine,119563,6,2008,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
14000000,All About the Benjamins,3.909079,2002-03-08,95.0,All About the Benjamins,25482931,3,2002,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
150000000,Casino Royale,23.065078,2006-11-14,144.0,Casino Royale,599045960,11,2006,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1
4000000,Trapeze,1.8010709999999999,2056-05-30,105.0,Trapeze,14400000,5,2056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1
0,Fallen,6.3816120000000005,1998-01-16,124.0,Fallen,25232289,1,1998,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1
5000000,Friday the 13th Part VIII: Jason Takes Manhattan,7.743144,1989-07-28,100.0,Friday the 13th Part VIII: Jason Takes Manhattan,14000000,7,1989,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1
12000000,Nebraska,11.160699000000001,2013-09-21,115.0,Nebraska,17654912,9,2013,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1
1500000,Bloodsport,8.822275999999999,1988-02-26,92.0,Bloodsport,11806119,2,1988,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,1
12000000,Henry's Crime,5.145185,2010-01-14,108.0,Henry's Crime,204940,1,2010,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,0,0,1
2000000,To Kill a Mockingbird,14.284787,2062-12-25,129.0,To Kill a Mockingbird,13129846,12,2062,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1
85000000,The Fast and the Furious: Tokyo Drift,2.238808,2006-06-03,104.0,The Fast and the Furious: Tokyo Drift,158468292,6,2006,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1
29000000,The Jacket,12.092096000000002,2005-03-04,103.0,The Jacket,21126225,3,2005,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,1,1,0,1
11000000,Cry-Baby,8.290384,1990-04-05,85.0,Cry-Baby,8266343,4,1990,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1
445000,Jackson County Jail,2.482536,1976-03-31,84.0,Jackson County Jail,2300000,3,1976,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1
17000000,Fright Night,9.665251,2011-08-18,106.0,Fright Night,24922237,8,2011,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1
6000000,Caddyshack,10.451986,1980-07-25,98.0,Caddyshack,39846344,7,1980,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1
0,Sharky's Machine,2.6333990000000003,1981-12-18,122.0,Sharky's Machine,35610100,12,1981,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1
1500000,31,6.636625,2016-09-15,102.0,31,779820,9,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1
15000000,Dark Blue,4.9840800000000005,2002-12-14,118.0,Dark Blue,9237470,12,2002,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1
10284523,Shopgirl,4.3490459999999995,2005-10-21,104.0,Shopgirl,11588205,10,2005,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,1,0,1
43000000,The Skeleton Key,10.947957,2005-07-29,104.0,The Skeleton Key,91974818,7,2005,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1
28000000,2010,7.482864999999999,1984-12-06,116.0,2010,40400657,12,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1
2000000,Silent House,10.239941,2011-01-21,85.0,Silent House,13101672,1,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1
50000000,Congo,7.260574,1995-06-09,109.0,Congo,152022101,6,1995,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1
8000000,Kramer vs. Kramer,9.741644,1979-12-18,105.0,Kramer vs. Kramer,106260000,12,1979,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1
20000000,The Zookeeper's Wife,13.655178,2017-03-31,126.0,The Zookeeper's Wife,13162475,3,2017,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1
0,Sommersby,4.359884,1993-02-05,109.0,Sommersby,140081992,2,1993,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1
30000000,Kill Bill: Vol. 1,25.261865,2003-10-10,111.0,Kill Bill: Vol. 1,180949000,10,2003,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1
35000000,Le Hussard sur le toit,1.690768,1995-09-20,135.0,The Horseman on the Roof,15000000,9,1995,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1
0,Hunger,14.322814000000001,2008-05-15,96.0,Hunger,2724474,5,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1
15000000,Mulholland Drive,18.184055999999998,2001-05-16,147.0,Mulholland Drive,20117339,5,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1
6000000,Colors,5.529808,1988-04-15,120.0,Colors,46616067,4,1988,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,1,0,1
7000000,Dark Angel,7.958502,1990-01-26,91.0,Dark Angel,9229401,1,1990,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1
60000000,A Beautiful Mind,11.93646,2001-12-11,135.0,A Beautiful Mind,313542341,12,2001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1
0,Won't Back Down,2.401289,2012-09-28,121.0,Won't Back Down,5310554,9,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1
10900000,Belle,13.454169,2013-09-08,105.0,Belle,16505460,9,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1
72000000,Braveheart,20.755149,1995-05-24,177.0,Braveheart,210000000,5,1995,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1
15000000,Hawaii,3.210693,2066-10-10,189.0,Hawaii,34562222,10,2066,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,1,0,1
75000000,Bandits,13.136791,2001-10-12,123.0,Bandits,67631903,10,2001,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1
35000000,Little Black Book,5.093704,2004-08-06,111.0,Little Black Book,22034832,8,2004,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1
100000000,In the Heart of the Sea,11.696923,2015-11-20,122.0,In the Heart of the Sea,93820758,11,2015,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1
20000000,Biloxi Blues,4.619593,1988-03-25,106.0,Biloxi Blues,51684798,3,1988,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1
93000000,The Lord of the Rings: The Fellowship of the Ring,32.070725,2001-12-18,178.0,The Lord of the Rings: The Fellowship of the Ring,871368364,12,2001,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1
25000000,Undercover Brother,5.00725,2002-05-31,86.0,Undercover Brother,41604473,5,2002,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1
0,Wild Hogs,11.356011,2007-03-02,100.0,Wild Hogs,253625427,3,2007,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1
0,Boxing Helena,4.304224,1993-06-18,107.0,Boxing Helena,1796389,6,1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,1,0,1
90000000,Rush Hour 2,8.345985,2001-08-03,90.0,Rush Hour 2,347325802,8,2001,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,1,0,1
150000000,Tarzan,12.453452,1999-06-18,88.0,Tarzan,448000000,6,1999,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,1
1500000,Loose Cannons,1.9612080000000003,1990-02-09,94.0,Loose Cannons,5585154,2,1990,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1
25000000,Romeo Must Die,8.369176,2000-03-20,115.0,Romeo Must Die,91036760,3,2000,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1
7500000,(500) Days of Summer,16.376657,2009-07-17,95.0,(500) Days of Summer,60722734,7,2009,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,0,1
0,Corvette Summer,5.695908,1978-06-02,105.0,Corvette Summer,15500000,6,1978,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
10000000,The Gift,7.886926,2000-12-22,111.0,The Gift,12008642,12,2000,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1
18000000,The Fog,9.929808999999999,2005-10-14,100.0,The Fog,46201432,10,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1
2400000,Get on the Bus,5.2306610000000004,1996-10-16,120.0,Get on the Bus,5731103,10,1996,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
4000000,Alan Partridge: Alpha Papa,10.130541000000001,2013-07-24,90.0,Alan Partridge: Alpha Papa,9800000,7,2013,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1
0,The Endurance: Shackleton's Legendary Antarctic Expedition,1.079975,2000-09-02,97.0,The Endurance: Shackleton's Legendary Antarctic Expedition,2452566,9,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
